Nr Komisji Okręgowej[1-51];Kod Komisji Obwodowej;Numer obwodu;Typ Obwodu;Nazwa lokalu;Adres lokalu;Uprawnionych do głosowania
10;106101-319;319;P;Szkoła Podstawowa nr 34 im. Leona Kruczkowskiego;ul. Ćwiklińskiej 9, 92-508 Łódź;1898
10;106101-320;320;P;Szkoła Podstawowa nr 34 im. Leona Kruczkowskiego;ul. Ćwiklińskiej 9, 92-508 Łódź;1574
10;106101-321;321;P;Szkoła Podstawowa nr 34 im. Leona Kruczkowskiego;ul. Ćwiklińskiej 9, 92-508 Łódź;1392
10;106101-322;322;P;Zespół Szkół Ogólnokształcących nr 1;ul. Czajkowskiego 14, 92-511 Łódź;1268
10;106101-323;323;P;Zespół Szkół Ogólnokształcących nr 1;ul. Czajkowskiego 14, 92-511 Łódź;1028
10;106101-324;324;P;Zespół Szkół Ogólnokształcących nr 1;ul. Czajkowskiego 14, 92-511 Łódź;905
10;106101-325;325;P;Szkoła Podstawowa nr 33 im. Stefana Kopcińskiego;ul. Lermontowa 7, 92-512 Łódź;1713
10;106101-326;326;P;Szkoła Podstawowa nr 33 im. Stefana Kopcińskiego;ul. Lermontowa 7, 92-512 Łódź;1811
10;106101-327;327;P;Szkoła Podstawowa nr 33 im. Stefana Kopcińskiego;ul. Lermontowa 7, 92-512 Łódź;1721
10;106101-328;328;P;Szkoła Podstawowa nr 12 im. Mariana Batki;ul. Jurczyńskiego 1/3, 92-306 Łódź;1065
10;106101-329;329;P;Szkoła Podstawowa nr 12 im. Mariana Batki;ul. Jurczyńskiego 1/3, 92-306 Łódź;1347
10;106101-330;330;P;Szkoła Podstawowa nr 12 im. Mariana Batki;ul. Jurczyńskiego 1/3, 92-306 Łódź;890
10;106101-331;331;P;Szkoła Podstawowa nr 12 im. Mariana Batki;ul. Jurczyńskiego 1/3, 92-306 Łódź;992
10;106101-332;332;P;Szkoła Podstawowa nr 114 im. prof. Jana Dembowskiego;ul. Milionowa 64, 92-334 Łódź;1707
10;106101-333;333;P;Szkoła Podstawowa nr 114 im. prof. Jana Dembowskiego;ul. Milionowa 64, 92-334 Łódź;1708
10;106101-334;334;P;Lokal Rady Osiedla Nr 33;ul. Dyspozytorska 3, 92-402 Łódź;637
10;106101-335;335;P;Szkoła Podstawowa nr 141 im. gen. Mariusza Zaruskiego;ul. Zakładowa 35, 92-402 Łódź;2091
10;106101-336;336;P;Szkoła Podstawowa nr 141 im. gen. Mariusza Zaruskiego;ul. Zakładowa 35, 92-402 Łódź;1634
10;106101-337;337;P;Szkoła Podstawowa nr 141 im. gen. Mariusza Zaruskiego;ul. Zakładowa 35, 92-402 Łódź;1640
10;106101-338;338;P;Publiczne Gimnazjum nr 36 im. Krzysztofa Kieślowskiego;ul.Dąbrówki 1, 92-413 Łódź;1788
10;106101-339;339;P;Publiczne Gimnazjum nr 36 im. Krzysztofa Kieślowskiego;ul. Dąbrówki 1, 92-413 Łódź;1658
10;106101-340;340;P;Publiczne Gimnazjum nr 36 im. Krzysztofa Kieślowskiego;ul.Dąbrówki 1, 92-413 Łódź;1804
10;106101-341;341;P;Przedszkole Miejskie nr 4;ul. Kmicica 5, 92-433 Łódź;1547
10;106101-342;342;P;Przedszkole Miejskie nr 4;ul. Kmicica 5, 92-433 Łódź;1531
10;106101-343;343;P;Przedszkole Miejskie nr 4;ul.Kmicica 5, 92-433 Łódź;1909
10;106101-344;344;P;Przedszkole Miejskie nr 4;ul. Kmicica 5, 92-433 Łódź;1704
10;106101-345;345;P;Lokal Rady Osiedla Dolina Łódki;ul. Beskidzka 172, 91-610 Łódź;1458
10;106101-346;346;P;"Szkoła Publiczna Szkoła Podstawowa ""Mileszki""";ul. Pomorska 437, 92-735 Łódź;1402
10;106101-347;347;P;Szkoła Podstawowa nr 37 im. Janusza Kusocińskiego;ul. Szpitalna 9/11, 92-207 Łódź;1167
10;106101-348;348;P;Szkoła Podstawowa nr 37 im. Janusza Kusocińskiego;ul. Szpitalna 9/11, 92-207 Łódź;1387
10;106101-349;349;P;Szkoła Podstawowa nr 37 im. Janusza Kusocińskiego;ul. Szpitalna 9/11, 92-207 Łódź;1329
10;106101-350;350;P;Szkoła Podstawowa nr 4 im. Komisji Edukacji Narodowej;al. Marszałka Piłsudskiego 101, 92-329 Łódź;1210
10;106101-351;351;P;Szkoła Podstawowa nr 4 im. Komisji Edukacji Narodowej;al. Marszałka Piłsudskiego 101, 92-329 Łódź;1417
10;106101-352;352;P;Szkoła Podstawowa nr 29 im. Jana Kochanowskiego;ul. Przędzalniana 70, 90-338 Łódź;1611
10;106101-353;353;P;Szkoła Podstawowa nr 170 im. Anieli Krzywoń;ul. Miedziana 1/3, 90-038 Łódź;1595
10;106101-354;354;P;Szkoła Podstawowa nr 170 im. Anieli Krzywoń;ul.Miedziana 1/3, 90-038 Łódź;1184
10;106101-355;355;P;Szkoła Podstawowa nr 170 im. Anieli Krzywoń;ul. Miedziana 1/3, 90-038 Łódź;2170
10;106101-356;356;P;II Liceum Ogólnokształcące im. Gabriela Narutowicza;ul. Nowa 11/13, 90-031 Łódź;1263
10;106101-357;357;P;II Liceum Ogólnokształcące im. Gabriela Narutowicza;ul. Nowa 11/13, 90-031 Łódź;1014
10;106101-358;358;P;Publiczne Gimnazjum nr 32 im. Karola Wojtyły;ul. Fabryczna 4, 90-325 Łódź;1685
10;106101-359;359;P;Szkoła Podstawowa nr 29 im. Jana Kochanowskiego;ul. Przędzalniana 70, 90-338 Łódź;1527
10;106101-360;360;P;Szkoła Podstawowa nr 29 im. Jana Kochanowskiego;ul. Przędzalniana 70, 90-338 Łódź;1371
10;106101-361;361;P;Zespół Szkolno-Przedszkolny nr 2;ul.Jugosłowiańska 2, 92-720 Łódź;1682
10;106101-362;362;P;Zespół Szkolno-Przedszkolny nr 2;ul. Jugosłowiańska 2, 92-720 Łódź;1177
10;106101-363;363;P;Przedszkole Miejskie nr 230;ul. Przylesie 22, 92-644 Łódź;1303
10;106101-364;364;P;Szkoła Podstawowa nr 204 im. Stefana Kardynała Wyszyńskiego;ul. Gajcego 7/11, 92-610 Łódź;1604
10;106101-365;365;P;Szkoła Podstawowa nr 204 im. Stefana Kardynała Wyszyńskiego;ul. Gajcego 7/11, 02-610 Łódź;1690
10;106101-366;366;P;Przedszkole Miejskie nr 65;ul. Przybyszewskiego 92, 93-100 Łódź;1702
10;106101-367;367;P;XLIV Liceum Ogólnokształcące;ul. Wacława 22/24, 93-118 Łódź;1143
10;106101-368;368;P;Przedszkole Miejskie nr 221-Integracyjne;al. Marszałka Śmigłego-Rydza 38, 93-281 Łódź;1635
10;106101-369;369;P;"Szkoła Podstawowa nr 149 im. ""Obrońców Westerplatte""";ul. Tatrzańska 69a, 93-219 Łódź;1710
10;106101-370;370;P;"Szkoła Podstawowa nr 149 im. ""Obrońców Westerplatte""";ul. Tatrzańska 69a, 93-291 Łódź;2177
10;106101-371;371;P;"Szkoła Podstawowa nr 149 im. ""Obrońców Westerplatte""";ul. Tatrzańska 69a, 93-219 Łódź;1780
10;106101-372;372;P;Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego;ul. Standego 1, 93-221 Łódź;1853
10;106101-373;373;P;Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego;ul. Standego 1, 93-221 Łódź;1289
10;106101-374;374;P;Szkoła Podstawowa nr 193 im. Krzysztofa Kamila Baczyńskiego;ul. Standego 1, 93-221 Łódź;1082
10;106101-375;375;P;Gimnazjum Publiczne nr 31 im. Szarych Szeregów;ul. Generała Grota-Roweckiego 1, 93-217 Łódź;1166
10;106101-376;376;P;Gimnazjum Publiczne nr 31 im. Szarych Szeregów;ul. Generała Grota-Roweckiego 1, 93-217 Łódź;1130
10;106101-377;377;P;Gimnazjum Publiczne nr 31 im. Szarych Szeregów;ul. Generała Grota-Roweckiego 1, 93-217 Łódź;940
10;106101-378;378;P;Publiczne Gimnazjum nr 33;ul. Janosika 136, 92-108 Łódź;1209
10;106101-379;379;P;Publiczne Gimnazjum nr 33;ul. Janosika 136, 92-108 Łódź;1108
10;106101-380;380;P;Szkoła Podstawowa nr 139 im. Wojska Polskiego;ul. Giewont 28, 92-116 Łódź;1854
10;106101-381;381;P;Szkoła Podstawowa nr 139 im. Wojska Polskiego;ul. Giewont 28, 92-116 Łódź;1668
10;106101-382;382;P;Pogotowie Opiekuńcze Nr 1;ul. Krokusowa 15/17, 92-101 Łódź;1714
10;106101-383;383;P;Publiczne Gimnazjum nr 30 im. Adama Mickiewicza;ul. Nowogrodzka 6/14, 92-221 Łódź;1468
10;106101-384;384;L;Specjalistyczny Psychiatryczny Zespół Opieki Zdrowotnej w Łodzi;Aleksandrowska 159, 91-229 Łódź;517
10;106101-385;385;L;Wojewódzki Zespół Zakładów Opieki Zdrowotnej Centrum Leczenia Chorób Płuc i Rehabilitacji w Łodzi;ul. Okólna 181, 91-520 Łódź;305
10;106101-386;386;L;Wojewódzki Specjalistyczny Szpital im. dr. W. Biegańskiego w Łodzi;ul. Kniaziewicza 1/5, 91-347 Łódź;259
10;106101-387;387;L;IV Szpital Miejski im. dr. H. Jordana w Łodzi;ul. Przyrodnicza 7/9, 91-480 Łódź;100
10;106101-388;388;L;Samodzielny Publiczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych w Łodzi;ul. Północna 42, 91-425 Łódź;200
10;106101-389;389;L;Wojewódzkie Centrum Ortopedii i Rehabilitacji Narządu Ruchu im. dr. Z. Radlińskiego w Łodzi;ul. Drewnowska 75, 91-002 Łódź;82
10;106101-390;390;Z;6 Dom Pomocy Społecznej w Łodzi;ul. Złotnicza 10, 91-836 Łódź;133
10;106101-391;391;Z;"Dom Pomocy Społecznej ""Pogodna Jesień"" w Łodzi";ul. Dojazdowa 5/7, 91-503 Łódź;83
10;106101-392;392;Z;"Dom Pomocy Społecznej ""Dom Kombatanta"" w Łodzi";ul. Przyrodnicza 24/26, 91-480 Łódź;47
10;106101-393;393;Z;Dom Pomocy Społecznej w Łodzi;ul. Rojna 15, 91-142 Łódź;92
10;106101-394;394;A;Areszt Śledczy w Łodzi;ul. Smutna 21, 91-729 Łódź;1138
10;106101-395;395;L;Instytut Centrum Zdrowia Matki Polki w Łodzi;ul. Rzgowska 281/289, 93-338 Łódź;459
10;106101-396;396;L;Wojewódzki Specjalistyczny Szpital im. M. Kopernika w Łodzi;ul. Pabianicka 62, 93-512 Łódź;800
10;106101-397;397;L;BONI FRATRES LODZIENSIS sp. z o.o. Szpital Zakonu Bonifratrów św. Jana Bożego w Łodzi;ul. Kosynierów Gdyńskich 61, 93-357 Łódź;154
10;106101-398;398;Z;5 Dom Pomocy Społecznej w Łodzi;ul. Podgórna 2/14, 94-234 Łódź;174
10;106101-399;399;Z;3 Dom Pomocy Społecznej w Łodzi;ul. Paradna 36, 93-345 Łódź;115
10;106101-400;400;Z;Dom Pomocy Społecznej w Łodzi;ul. Rudzka 56, 93-423 Łódź;100
10;106101-401;401;Z;Dom Pomocy Społecznej Sióstr Służebniczek NMP NP im. bł. Edmunda Bojanowskiego w Łodzi;ul. Kosynierów Gdyńskich 20, 93-357 Łódź;116
10;106101-402;402;K;Zakład Karny Nr 2 w Łodzi;ul. Kraszewskiego 1/5, 93-161 Łódź;328
10;106101-403;403;D;Wyższa Szkoła Informatyki i Umiejętności Dom Studencki;ul. Rzgowska 17A, 93-008 Łódź;120
10;106101-404;404;L;Samodzielny Publiczny Zakład Opieki Zdrowotnej Uniwersytecki Szpital Kliniczny im;Żeromskiego 113, 90-549 Łódź;329
